,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Console_Product,Filtered_Publisher,Global_Sales (zeros)
0,Wii Sports,Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,Nintendo,Nintendo,False
1,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,Nintendo,Nintendo,False
2,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52,Nintendo,Nintendo,False
3,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,Nintendo,Nintendo,False
4,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,Nintendo,Nintendo,False
5,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,Nintendo,Nintendo,False
6,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,Nintendo,Nintendo,False
7,Wii Play,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,Nintendo,Nintendo,False
8,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,Nintendo,Nintendo,False
9,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,Nintendo,Nintendo,False
10,Nintendogs,DS,2005,Simulation,Nintendo,9.05,10.95,1.93,2.74,24.67,Nintendo,Nintendo,False
11,Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,Nintendo,Nintendo,False
12,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,Nintendo,Nintendo,False
13,Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,Nintendo,Nintendo,False
14,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,Xbox,Microsoft Game Studios,False
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,Nintendo,Nintendo,False
16,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,Playstation,Take-Two Interactive,False
17,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,Playstation,Take-Two Interactive,False
18,Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,Nintendo,Nintendo,False
19,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,Nintendo,Nintendo,False
20,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.25,Nintendo,Nintendo,False
21,Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,Nintendo,Nintendo,False
22,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,Nintendo,Nintendo,False
23,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,Xbox,Take-Two Interactive,False
24,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,Playstation,Take-Two Interactive,False
25,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,Nintendo,Nintendo,False
26,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,Nintendo,Nintendo,False
27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.51,3.17,5.65,0.8,15.14,Nintendo,Nintendo,False
28,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Interactive Entertainment,6.85,5.09,1.87,1.16,14.98,Playstation,Sony Interactive Entertainment,False
29,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,Xbox,Activision,False
30,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,Nintendo,Nintendo,False
31,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,6.03,5.86,0.36,2.38,14.63,Playstation,Activision,False
32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,Xbox,Activision,False
33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.28,4.19,4.35,0.78,14.6,Nintendo,Nintendo,False
34,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,Playstation,Activision,False
35,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,Xbox,Activision,False
36,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.59,0.08,1.28,13.47,Xbox,Activision,False
37,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,Playstation,Activision,False
38,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,Playstation,Take-Two Interactive,False
39,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84,Nintendo,Nintendo,False
40,Mario Kart 7,3DS,2011,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66,Nintendo,Nintendo,False
41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,Playstation,Activision,False
42,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,Playstation,Take-Two Interactive,False
43,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,Nintendo,Nintendo,False
44,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,Xbox,Microsoft Game Studios,False
45,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,Nintendo,Nintendo,False
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.34,2.71,3.96,0.76,11.77,Nintendo,Nintendo,False
47,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.35,3.49,3.1,0.74,11.68,Nintendo,Nintendo,False
48,Gran Turismo 4,PS2,2004,Racing,Sony Interactive Entertainment,3.01,0.01,1.1,7.53,11.66,Playstation,Sony Interactive Entertainment,False
49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,Nintendo,Nintendo,False
50,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,Nintendo,Nintendo,False
51,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,Xbox,Take-Two Interactive,False
52,Gran Turismo,PS,1997,Racing,Sony Interactive Entertainment,4.02,3.87,2.54,0.52,10.95,Playstation,Sony Interactive Entertainment,False
53,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,Nintendo,Nintendo,False
54,Gran Turismo 5,PS3,2010,Racing,Sony Interactive Entertainment,2.96,4.82,0.81,2.11,10.7,Playstation,Sony Interactive Entertainment,False
55,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,Playstation,Activision,False
56,Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,Nintendo,Nintendo,False
57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,Playstation,Take-Two Interactive,False
58,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,Nintendo,Nintendo,False
59,Super Mario 64,DS,2004,Platform,Nintendo,5.01,3.07,1.25,0.97,10.3,Nintendo,Nintendo,False
60,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,Xbox,Activision,False
61,Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,Nintendo,Ubisoft,False
62,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,Nintendo,Nintendo,False
63,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,Nintendo,Nintendo,False
64,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,Xbox,Microsoft Game Studios,False
65,Final Fantasy VII,PS,1997,Role-Playing,Sony Interactive Entertainment,3.01,2.47,3.28,0.96,9.72,Playstation,Sony Interactive Entertainment,False
66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,Xbox,Microsoft Game Studios,False
67,Gran Turismo 2,PS,1999,Racing,Sony Interactive Entertainment,3.88,3.42,1.69,0.5,9.49,Playstation,Sony Interactive Entertainment,False
68,Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,Nintendo,Ubisoft,False
69,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,Playstation,Activision,False
70,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,Xbox,Activision,False
71,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,Nintendo,Nintendo,False
72,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,Xbox,Microsoft Game Studios,False
73,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,Nintendo,Nintendo,False
74,Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,Nintendo,Nintendo,False
75,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,Xbox,Other,False
76,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,Nintendo,Nintendo,False
77,FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,Playstation,Electronic Arts,False
78,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,Xbox,Microsoft Game Studios,False
79,Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,Nintendo,Nintendo,False
80,Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,Nintendo,Nintendo,False
81,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,Playstation,Electronic Arts,False
82,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,Nintendo,Nintendo,False
83,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.07,Nintendo,Nintendo,False
84,Final Fantasy X,PS2,2001,Role-Playing,Sony Interactive Entertainment,2.91,2.07,2.73,0.33,8.05,Playstation,Sony Interactive Entertainment,False
85,The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,PC,Electronic Arts,False
86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,7.99,Nintendo,Sega,False
87,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,Playstation,Electronic Arts,False
88,Final Fantasy VIII,PS,1999,Role-Playing,Square Enix,2.28,1.72,3.63,0.23,7.86,Playstation,Square Enix,False
89,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,Atari,Atari,False
90,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,Nintendo,Nintendo,False
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,Playstation,Take-Two Interactive,False
92,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,Playstation,Activision,False
93,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,Nintendo,Nintendo,False
94,FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,Playstation,Electronic Arts,False
95,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Interactive Entertainment,3.78,2.17,1.31,0.31,7.58,Playstation,Sony Interactive Entertainment,False
96,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.55,Nintendo,Nintendo,False
97,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,Nintendo,Nintendo,False
98,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,Nintendo,Nintendo,False
99,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,Xbox,Activision,False
100,Call of Duty: World at War,X360,2008,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,Xbox,Activision,False
101,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,Xbox,Electronic Arts,False
102,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,Playstation,Electronic Arts,False
103,Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,Nintendo,Ubisoft,False
104,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,Playstation,Electronic Arts,False
105,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,Playstation,Other,False
106,Tekken 3,PS,1998,Fighting,Sony Interactive Entertainment,3.27,2.22,1.4,0.29,7.16,Playstation,Sony Interactive Entertainment,False
107,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,Nintendo,Nintendo,False
108,Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,2.98,1.45,2.26,0.45,7.14,Nintendo,Nintendo,False
109,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Interactive Entertainment,3.68,1.75,1.42,0.28,7.13,Playstation,Sony Interactive Entertainment,False
110,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,Nintendo,Nintendo,False
111,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,Nintendo,Nintendo,False
112,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,Nintendo,Nintendo,False
113,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,Playstation,Electronic Arts,False
114,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,Playstation,Electronic Arts,False
115,Crash Bandicoot,PS,1996,Platform,Sony Interactive Entertainment,3.23,2.35,0.94,0.3,6.82,Playstation,Sony Interactive Entertainment,False
116,Just Dance 4,Wii,2012,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,Nintendo,Ubisoft,False
117,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,Xbox,Microsoft Game Studios,False
118,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Interactive Entertainment,2.77,2.75,0.19,1.03,6.74,Playstation,Sony Interactive Entertainment,False
119,Zumba Fitness,Wii,2010,Sports,505 Games,3.45,2.59,0.0,0.66,6.71,Nintendo,505 Games,False
120,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,Playstation,Activision,False
121,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Interactive Entertainment,3.27,2.2,0.21,0.98,6.66,Playstation,Sony Interactive Entertainment,False
122,FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.65,Playstation,Electronic Arts,False
123,Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,Nintendo,Nintendo,False
124,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,Nintendo,Nintendo,False
125,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,Playstation,Take-Two Interactive,False
126,FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,Playstation,Electronic Arts,False
127,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,Playstation,Ubisoft,False
128,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,Nintendo,Nintendo,False
129,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,Xbox,Microsoft Game Studios,False
130,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,Playstation,Other,False
131,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,Nintendo,Nintendo,False
132,Kingdom Hearts,PS2,2002,Role-Playing,Sony Interactive Entertainment,3.64,1.2,1.49,0.07,6.4,Playstation,Sony Interactive Entertainment,False
133,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,Nintendo,Nintendo,False
134,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,Xbox,Microsoft Game Studios,False
135,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,Xbox,Take-Two Interactive,False
136,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,Nintendo,Nintendo,False
137,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,Nintendo,Capcom,False
138,World of Warcraft,PC,2004,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29,PC,Activision,False
139,Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,Playstation,Other,False
140,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,Xbox,Microsoft Game Studios,False
141,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,Xbox,Microsoft Game Studios,False
142,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,Xbox,Microsoft Game Studios,False
143,FIFA 15,PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,Playstation,Electronic Arts,False
144,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,Playstation,Konami Digital Entertainment,False
145,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,Sega,Sega,False
146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,Playstation,Konami Digital Entertainment,False
147,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,Playstation,Konami Digital Entertainment,False
148,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,Playstation,Square Enix,False
149,The Last of Us,PS3,2013,Action,Sony Interactive Entertainment,2.41,2.18,0.28,0.99,5.87,Playstation,Sony Interactive Entertainment,False
150,LittleBigPlanet,PS3,2008,Platform,Sony Interactive Entertainment,2.8,1.98,0.17,0.87,5.82,Playstation,Sony Interactive Entertainment,False
151,Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,Playstation,Other,False
152,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,Nintendo,Nintendo,False
153,Tekken 2,PS,1996,Fighting,Sony Interactive Entertainment,2.26,1.89,1.36,0.23,5.74,Playstation,Sony Interactive Entertainment,False
154,Destiny,PS4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,Playstation,Activision,False
155,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.55,0.0,0.51,5.64,Nintendo,Other,False
156,Cooking Mama,DS,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,Nintendo,505 Games,False
157,Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,Nintendo,Nintendo,False
158,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,Nintendo,Nintendo,False
159,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,Playstation,Ubisoft,False
160,Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,Xbox,Ubisoft,False
161,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,Xbox,Microsoft Game Studios,False
162,Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,Nintendo,Nintendo,False
163,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,Playstation,Capcom,False
164,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,Playstation,Warner Bros. Interactive Entertainment,False
165,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,Xbox,Take-Two Interactive,False
166,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,Nintendo,Nintendo,False
167,Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,Nintendo,Nintendo,False
168,Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,Nintendo,Nintendo,False
169,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,Playstation,Other,False
170,Call of Duty: World at War,PS3,2008,Shooter,Activision,2.73,1.83,0.0,0.83,5.39,Playstation,Activision,False
171,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Interactive Entertainment,1.85,2.5,0.19,0.85,5.38,Playstation,Sony Interactive Entertainment,False
172,Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,Nintendo,Nintendo,False
173,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,Playstation,Square Enix,False
174,Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,Nintendo,Nintendo,False
175,Final Fantasy IX,PS,2000,Role-Playing,Square Enix,1.62,0.77,2.78,0.14,5.3,Playstation,Square Enix,False
176,Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,Xbox,Ubisoft,False
177,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,Playstation,Electronic Arts,False
178,Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,Nintendo,Nintendo,False
179,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,Xbox,Activision,False
180,Minecraft,PS3,2014,Misc,Sony Interactive Entertainment,2.03,2.37,0.0,0.87,5.26,Playstation,Sony Interactive Entertainment,False
181,Assassin's Creed II,X360,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,Xbox,Ubisoft,False
182,Tomb Raider II,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,Playstation,Eidos Interactive,False
183,Tomodachi Life,3DS,2013,Simulation,Nintendo,0.97,2.11,1.9,0.24,5.23,Nintendo,Nintendo,False
184,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,Nintendo,Nintendo,False
185,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,Playstation,Square Enix,False
186,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,Nintendo,Nintendo,False
187,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,Nintendo,Nintendo,False
188,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,Nintendo,Nintendo,False
189,FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,Xbox,Electronic Arts,False
190,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,Nintendo,Nintendo,False
191,Diablo III,PC,2012,Role-Playing,Activision,2.44,2.16,0.0,0.54,5.14,PC,Activision,False
192,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,Playstation,Electronic Arts,False
193,Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,Nintendo,Nintendo,False
194,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,PC,Microsoft Game Studios,False
195,Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,Playstation,Other,False
196,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,Xbox,Microsoft Game Studios,False
197,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1.63,2.45,0.44,0.57,5.09,Nintendo,Sega,False
198,Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.41,1.08,0.64,5.09,Playstation,Capcom,False
199,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,Nintendo,Nintendo,False
200,Super Mario Bros.,GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,Nintendo,Nintendo,False
201,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,Playstation,Electronic Arts,False
202,Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,Playstation,Other,False
203,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,Playstation,Take-Two Interactive,False
204,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,Playstation,Activision,False
205,Warzone 2100,PS,1999,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01,Playstation,Eidos Interactive,False
206,Spyro the Dragon,PS,1998,Platform,Sony Interactive Entertainment,3.36,1.36,0.07,0.21,5.0,Playstation,Sony Interactive Entertainment,False
