,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Console_Product,Filtered_Publisher,Global_Sales (zeros)
14758,Serious Sam Advance,GBA,2004,Shooter,Global Star,0.02,0.01,0.0,0.0,0.02,Nintendo,Other,False
14759,Pop'n Music 12 Iroha,PS2,2006,Simulation,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02,Playstation,Konami Digital Entertainment,False
14760,Foto Showdown,DS,2010,Role-Playing,Unknown,0.02,0.0,0.0,0.0,0.02,Nintendo,Unknown,False
14761,Juusanshi Engi Engetsu Sangokuden 2,PSP,2014,Action,Idea Factory International,0.0,0.0,0.02,0.0,0.02,Playstation,Idea Factory International,False
14762,Turbo: Super Stunt Squad,WiiU,2013,Sports,D3Publisher,0.0,0.02,0.0,0.0,0.02,Nintendo,D3Publisher,False
14763,BeatMania IIDX 11: IIDX Red,PS2,2006,Simulation,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02,Playstation,Konami Digital Entertainment,False
14764,Disney Planes Fire & Rescue,WiiU,2014,Action,Disney Interactive Studios,0.01,0.01,0.0,0.0,0.02,Nintendo,Disney Interactive Studios,False
14765,Let's Dance with Mel B,Wii,2011,Sports,Black Bean Games,0.0,0.02,0.0,0.0,0.02,Nintendo,Other,False
14766,Jikkyou Powerful Pro Yakyuu 12 Ketteiban,GC,2005,Sports,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02,Nintendo,Konami Digital Entertainment,False
14767,Road Trip: The Arcade Edition,GC,2002,Racing,Zoo Digital Publishing,0.02,0.0,0.0,0.0,0.02,Nintendo,Zoo Digital Publishing,False
14768,Alien Breed Trilogy,X360,2011,Shooter,Mastertronic,0.0,0.02,0.0,0.0,0.02,Xbox,Other,False
14769,No More Heroes: Heroes' Paradise,X360,2010,Action,Marvelous Entertainment,0.0,0.0,0.02,0.0,0.02,Xbox,Other,False
14770,Virtua Tennis: World Tour (jp sales),PSP,2005,Sports,Sega,0.0,0.0,0.02,0.0,0.02,Playstation,Sega,False
14771,Captain Morgane and the Golden Turtle,DS,2012,Adventure,Reef Entertainment,0.0,0.02,0.0,0.0,0.02,Nintendo,Other,False
14772,Cold War,XB,2005,Shooter,DreamCatcher Interactive,0.02,0.01,0.0,0.0,0.02,Xbox,Other,False
14773,Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai,PSP,2012,Action,5pb,0.0,0.0,0.02,0.0,0.02,Playstation,Other,False
